C.C.,CSV Receivable,DB Calculated Total,Match,Difference,PAID Count,ISSUED Count,NOT_ISSUED Count,PARTIALLY_PAID Count,DISCOUNT Count,UNKNOWN Count,Details
5345,15995,15995,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+15995)"
5450,17575,17575,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+17575)"
5577,55900,55900,MATCH,0,0,3,1,0,0,0,"NOT_ISSUED(+13975) | ISSUED(+13975) | ISSUED(+13975) | ISSUED(+13975)"
6139,17975,17975,MATCH,0,3,0,1,0,0,0,"NOT_ISSUED(+17975)"
6141,17975,17975,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+17975)"
6199,85600,85600,MATCH,0,0,4,1,0,0,0,"NOT_ISSUED(+17975) | ISSUED(+17975) | ISSUED(+17975) | ISSUED(+13700) | ISSUED(+17975)"
6451,19975,19975,MATCH,0,3,0,1,0,0,0,"NOT_ISSUED(+19975)"
7131,76990,76990,MATCH,0,0,4,1,0,0,0,"ISSUED(+15000) | ISSUED(+15000) | ISSUED(+15000) | ISSUED(+15995) | NOT_ISSUED(+15995)"
7275,14975,14975,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+14975)"
7308,17975,17975,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+17975)"
7634,17575,17575,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+17575)"
7727,33950,33950,MATCH,0,1,1,1,0,0,0,"NOT_ISSUED(+16975) | ISSUED(+16975)"
4782,56700,56700,MATCH,0,0,3,1,0,0,0,"ISSUED(+14175) | NOT_ISSUED(+14175) | ISSUED(+14175) | ISSUED(+14175)"
6113,16975,16975,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+16975)"
6423,15975,15975,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+15975)"
6448,19975,19975,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+19975)"
6503,19975,19975,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+19975)"
6699,17975,17975,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+17975)"
6999,56965,56965,MATCH,0,0,2,1,0,0,0,"ISSUED(+18975) | ISSUED(+18995) | NOT_ISSUED(+18995)"
7244,19975,19975,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+19975)"
7255,19975,19975,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+19975)"
7265,13975,13975,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+13975)"
7524,17975,17975,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+17975)"
7574,17575,17575,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+17575)"
7593,17575,17575,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+17575)"
7650,24469,24469,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+24469)"
7680,17575,17575,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+17575)"
7736,19575,19575,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+19575)"
4554,5092,5092,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+5092)"
4575,18975,18975,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+18975)"
4585,16975,16975,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+16975)"
